star_score,reviews
3,헤이리 데이트 하러가면서 들린 레스토랑 유명하다고 해서 가봤습니다 분위기 좋고 맛도 괜찮았습니다
4,모든 메뉴가 다 갖춰진 헤이리 커피공장 누구와 가도 메뉴 걱정 없는 카페예요 가격도 좋고 메뉴도 많고 심지어 층으로 되어있어서 좌석도 많고 엘리베이터가 있어서 편하게 이용할 수 있어요 디저트 좋아하는 분들은 다양한 빵과 스콘들이 있어서 선택의 폭이 넓어요원두도 여러가지 판매하는데 사가는 분들이 많더라구요파주에 오면 한번 들려보세요주차공간도 넓어서 주차도 편하게 할 수 있어요
4,평소에 접해보기 힘든 커피들이 많아 주문할때 한참 고민했던곳 그만큼 가게이름과 어울리는 곳이고 차와 어울리는 다양한 빵들과 여기저기 걸려있는 미술작품이 어울리는 내부처럼 소품또한 하나하나 신경쓴 느낌 아포가토 시키신분도 맛있다 하셨고 내가시킨 마티나도 색다른 씁쓸한맛에 따뜻할때 조금 식었을때 완전식었을때 한입씩 음미해본 다양한 커피가 많아 다 맛보려면 시간이 꽤나걸릴듯하지만 그게 여기 매력이지
3,분위기에 맛있는 음식까지 데이트 장소로 추천합니당 
3,전체적으로 크리스마스 분위기를 폴폴 풍겨 소소한 연말을 즐기기 좋은 장소에용
2,사진 찍기도 좋아용
3,하나하나 구경하는 맛이 있어요
3,전체적으로 크리스마스 분위기를 폴폴 풍겨 소소한 연말을 즐기기 좋은 장소에용
3,내부가 매우 넓고요 맛도 조아용
3,음식 종류도 다양해요
3,분위기에 맛있는 음식까지 데이트 장소로 추천합니당 
3,음식 종류도 다양해요
5,분위기 좋고 맛좋고 사장님들 유쾌 친절하시고
3,솔직히 돈까스 먹으러 찾아갈 정도는 아니었음약간 옛날 경양식느낌
3,빈티지한 가구를 구경할 수 있어서 좋아요
2,분위기가 너무 좋아서 또 오고 싶어요
3,음료의 맛도 좋아요
4,헤이리 마을에서 가장 오래되었다고 해도 과언이 아닌 커피공장  주변 지인분들이 오면 모시고 가는 카페 중 하나다 그날 그날 굽는 치아바타 스콘 등의 베이커리들도 맛이좋다 브런치메뉴 중에서는 두툼하게 바로 구워진 와플과 아이스크림 생크림 메이플시럽이 함께 제공되는 와플세트와 겉은 바삭하고 주욱 늘어나는 치즈와 사과들어간 파니니가 참 맛있더라는 커피 맛도 무난무난 나쁘지 않다 가격도 저렴한 편이고 참으로 대중적인 카페느낌이랄까 더불어 추천할 음료메뉴중에는 요거트 스무디와코코넛 스무디가 맛있다 스무디를 참 잘하는 곳이다 더불어 유자차도 특색있어 추천 다만 비엔나 커피의 크림은 일반 적인 생크림 휘핑이라 기대하지 않는 것이 좋다 층 전체가 카페인데 층마다 다른 분위기를 이루고 맨 위층에서는 독립영화를 상영하는 영화관으로도 활용된다고
3,평이합니다
2,슈퍼처럼 꽤 다양한 유기농제품들 판매하고 있어요
2,반찬이랑 밥이랑 깨끗이 다 먹음 
2,가족단위 손님도 많고 테이블 크고 널찍하고 좋에
3,전부 친환경 유기농 제품인증이라 안심하고 먹을수있음
3,플레이팅도 깔끔하게 나오고 자극적이지 않은 맛
3,조각가 김기호씨가 운영하는 돈까스 전문점으로 값도 착하면서 양도 많고 분위기가 취저입니다 여기 정말 추천할만해요
3,분위기가 카페처럼 너무 깔끔했었어요 돈까스 먹으면서 호사 가족단위로 오면 너무 좋을 것 같은 곳입니다
3,헤이라 크레타 돈까스가 생각날때 가끔 찾아 가는 곳입니다 평범하지만 맛있어요 분위기도 너무 좋고요
2,메뉴판에 메뉴 사진이랑 설명잘되어 있음
3,매장 분위기도 좋고 가볼만함
3,소품 구경하는 재미가 있어요
2,브런치 세트 먹었는데 다 맛있었음
2,매장이 크지는 않음
3,울딸이 요거트에 만두란 소리를듣고 엥했던 만트 가장열심히먹더라구요 거부감이 없는게 신기했어요 이래서 형제의나라인가봐요
3,친구랑 다시 가야지
3,여기 수제버거는 진짜 여태 먹어본것중에 제일 자연주의 느낌 그런거같음
3,브런치 먹기에 가게 분위기부터 뭐하나 빠지는게없음 
3,맛이 진짜 강하지않고 부드러워요 
3,생맥주랑도 잘어울려요 특히 웨지감자
3,웨지포테이토 진짜 맛있음  여기 꼭 드셔보세요
5,기대 안하고 갔다가 감동받고 온 집  특히나 파스타가 감동적이다
3,커플셋트는 커플이 먹기엔 양이 좀 많은 듯 샐러드 신선하고 맛있음
4,완전 빵빵빵순이빵돌이커플이라요즘엔건강빵에 빠져서 여기호밀빵도 갠춘하고 치아바타로 샌드위치도 해먹고 그래용
4,남자친구랑 데이트하러 갔었는데 넓고 분위기도 좋았어요 피자랑 까르보나라 먹었는데 맛있어요
5,여기가 인기 많은 이유를 알겠더라고요 알리오 올리오 강추
3,맛있다
3,그런대로 괜찮았던 편이에용
3,훌륭했던거 같아요
3,곤드레비빔밥 추천할만했던거 같다
5,까르보나라 피자 크기 엄청커서 깜놀 하나 더 시켰으면 큰일 날 뻔 했어요 진짜 배부르게 먹고 왔네요
3,커피 괜찮군요
4,천장이 높아서 탁 트인 분위기가 나는 곳이에요 여기 피자랑 파스타 다 맛있습니다
4,굉장히 모던한 건물 전체가 까페 입니다 위층 공간으로 올라가면 풍경이 참 좋아요
4,빵 좋아하시는 분들에게 추천해요 우유식빵 부드럽고 치아바타 잘 하는 곳
3,에스프레소 추천할만햇던 것 같다
3,자기 전에 생각나는 맛
4,또 갈 수 있을 것 같아요
3,먹고싶음
3,또 갈 수 있을 것 같아요
4,올리브 치아바타 깔끔하구요
3,맘에 들었음
3,마음에 듭니다
3,또 갈 것 같당
3,서비스가 좋아요 친절하고요
3,대박 좋구요
3,마르게리따 피자 정말 만족스러운 편이네요
3,또 갈거에요
3,에스프레소 그냥 먹을만했구요
3,좋은 맛이었던 거 같네요
3,괜찮아요
4,가끔 가면 괜찮겠다 싶음
4,만족스러워요
3,좋았던 것 같구요
3,에스프레소 정말 만족스러웠었어요
3,에스프레소 맛있었고요
3,추천할만했어요
3,괜찮었어요
3,홍차 괜찮었어요
3,대박 좋았던 편이네요
